,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
20,Together,36634.0,0,1,5/28/13,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA
21,Single,43456.0,0,1,3/26/13,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IND
22,Married,40662.0,1,0,3/15/13,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,GER
23,Married,49544.0,1,0,2/12/13,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP
24,Single,57731.0,0,1,11/23/12,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,IND
25,Single,33168.0,0,1,10/13/12,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,SP
26,Together,54450.0,1,1,9/14/12,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP
27,Together,54450.0,1,1,9/14/12,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP
28,Widow,35340.0,1,1,6/29/14,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP
29,Single,73170.0,0,0,5/31/14,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA
30,Divorced,65808.0,1,1,5/30/14,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP
31,Married,79529.0,0,0,4/27/14,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA
32,Together,34578.0,2,1,4/11/14,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS
33,Married,46374.0,0,1,3/17/14,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,IND
34,Married,18351.0,0,0,10/29/13,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP
35,Single,95169.0,0,0,10/9/13,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP
36,Married,65370.0,0,0,8/1/13,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP
37,Divorced,39228.0,0,0,5/10/13,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA
38,Single,84865.0,0,0,5/9/13,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP
39,Married,61314.0,0,1,4/25/13,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP
40,Single,21359.0,1,0,4/20/13,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,CA
41,Married,66465.0,0,1,3/30/13,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,SP
42,Single,81698.0,0,0,3/1/13,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP
43,Single,39146.0,1,0,2/14/13,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,SP
44,Divorced,25959.0,1,1,2/14/13,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,SP
45,Together,64260.0,0,0,1/11/13,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP
46,Married,32300.0,1,0,1/3/13,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP
47,Married,74806.0,0,1,12/19/12,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,AUS
48,Divorced,72967.0,0,1,12/15/12,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,GER
49,Single,48904.0,0,1,12/2/12,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US
50,Married,14796.0,1,0,9/17/12,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,GER
51,Married,66991.0,0,0,9/11/12,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER
52,Single,52195.0,2,1,5/12/14,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA
53,Married,90369.0,0,0,4/28/14,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP
54,Married,18393.0,1,0,3/29/14,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,SP
55,Single,47139.0,1,1,3/6/14,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP
56,Married,38576.0,0,1,3/4/14,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IND
57,Together,61905.0,0,1,2/4/14,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA
58,Married,83715.0,0,0,2/3/14,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA
59,Married,60597.0,0,1,1/1/14,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP
60,Single,6560.0,0,0,12/12/13,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP
61,Together,48330.0,0,1,11/15/13,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,SP
62,Single,38236.0,1,1,9/20/13,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,SP
63,Married,22701.0,1,0,9/5/13,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP
64,Divorced,53367.0,1,1,8/31/13,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,AUS
65,Together,34728.0,1,0,7/30/13,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,SP
66,Married,63915.0,0,2,7/30/13,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,AUS
67,Married,82504.0,0,0,7/27/13,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,IND
68,Single,38578.0,1,1,6/22/13,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP
69,Single,38578.0,1,1,6/22/13,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP
70,Married,79174.0,0,0,1/11/13,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA
71,Divorced,81975.0,0,1,1/5/13,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA
72,Married,43263.0,0,1,11/21/12,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,SP
73,Single,27242.0,1,0,11/11/12,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,IND
74,Married,76445.0,1,0,9/28/12,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,SA
75,Together,75276.0,0,0,9/27/12,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,SP
76,Widow,34213.0,1,1,9/7/12,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,SA
77,Together,72335.0,0,0,8/13/12,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,SP
78,Married,79143.0,0,0,8/11/12,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,AUS
79,Married,27469.0,0,0,8/2/12,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,CA
80,Together,68695.0,0,0,6/25/14,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,SP
81,Together,68695.0,0,0,6/25/14,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,CA
82,Single,50388.0,0,1,5/28/14,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,GER
83,Together,77622.0,0,2,4/14/14,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,SA
84,Divorced,46102.0,2,1,3/10/14,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP
85,Single,31859.0,1,0,2/27/14,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,SP
86,Single,23830.0,0,0,2/7/14,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,SP
87,Married,24639.0,1,1,1/28/14,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,AUS
88,Together,71604.0,0,0,11/17/13,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,SP
89,Married,27255.0,1,0,11/7/13,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,SP
90,Together,55375.0,0,1,10/17/13,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,CA
91,Married,77037.0,0,1,10/13/13,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,SP
92,Single,24163.0,1,1,10/12/13,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,SP
93,Together,69476.0,0,0,9/30/13,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,US
94,Married,72063.0,0,1,7/3/13,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,GER
95,Married,58646.0,0,1,6/10/13,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,SP
96,Married,58646.0,0,1,6/10/13,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,GER
97,Widow,47570.0,1,1,5/29/13,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,US
98,Married,80011.0,0,1,4/29/13,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,AUS
99,Single,54998.0,0,1,3/10/13,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,SP
100,Single,60200.0,0,1,1/2/13,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,SP
101,Married,63211.0,0,0,11/2/12,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,SP
102,Single,48432.0,0,1,10/18/12,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,SA
103,YOLO,48432.0,0,1,10/18/12,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,CA
104,YOLO,48432.0,0,1,10/18/12,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,IND
105,Married,62845.0,1,1,10/1/12,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,SP
106,Married,62845.0,1,1,10/1/12,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,SP
107,Together,65220.0,0,0,9/3/12,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,GER
108,Married,74214.0,0,0,8/26/12,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,SP
109,Married,96547.0,0,0,5/23/14,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,SP
110,Together,53863.0,0,1,5/17/14,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,SP
111,Married,50447.0,2,0,4/21/14,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,IND
112,Married,37716.0,0,1,4/21/14,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,AUS
113,Together,45203.0,2,0,3/23/14,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,SA
114,Married,37368.0,1,0,12/16/13,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,SP
115,Married,67225.0,0,1,11/26/13,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,US
116,Together,65104.0,0,1,11/14/13,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,CA
117,Together,65104.0,0,1,11/14/13,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,SP
118,Married,81698.0,0,0,11/6/13,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,SP
119,Single,70566.0,0,1,10/6/13,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,SP
120,Together,69096.0,0,1,9/27/13,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,GER
121,Married,71434.0,0,1,9/18/13,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,SP
122,Married,33039.0,1,0,9/9/13,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,SP
123,Married,33039.0,1,0,9/9/13,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,CA
124,Together,46610.0,0,0,7/18/13,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,SP
125,Single,49967.0,0,1,7/8/13,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,CA
126,Married,53359.0,1,1,5/27/13,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,US
127,Married,49505.0,1,1,3/5/13,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,SP
128,Married,68657.0,0,0,2/20/13,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,AUS
129,Divorced,72071.0,0,1,2/14/13,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,SP
130,Divorced,72071.0,0,1,2/14/13,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,CA
131,Single,59235.0,1,0,1/12/13,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,IND
132,Together,21994.0,0,1,12/24/12,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,AUS
133,Together,21994.0,0,1,12/24/12,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,SP
135,Married,69209.0,0,0,9/17/12,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,CA
136,Together,31928.0,1,0,3/28/14,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,IND
137,Single,74004.0,0,0,2/24/14,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,IND
138,Married,30390.0,0,0,9/2/13,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,IND
139,Married,21355.0,1,0,8/20/13,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,US
140,Married,26304.0,1,0,6/23/13,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,GER
141,Married,85710.0,0,0,5/5/13,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,IND
142,Divorced,102692.0,0,0,4/5/13,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,SA
143,Single,58350.0,0,1,1/4/13,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,SP
144,Single,7500.0,1,1,12/27/12,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,SP
145,Single,18890.0,0,0,11/10/12,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,SA
146,Married,20425.0,1,0,10/29/12,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,CA
147,Married,20425.0,1,0,10/29/12,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,GER
148,Divorced,41437.0,1,1,9/22/12,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,SP
149,Together,49912.0,0,1,9/7/12,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,ME
150,Together,49912.0,0,1,9/7/12,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,AUS
151,Married,79823.0,0,1,3/31/14,6,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,0,AUS
152,Divorced,85683.0,0,0,3/21/14,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,0,SP
153,Divorced,47025.0,1,1,2/9/14,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP
154,Married,68397.0,0,1,11/17/13,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,SA
155,Married,38175.0,1,0,9/23/13,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0,SP
156,Single,46423.0,1,1,9/18/13,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP
157,Single,46423.0,1,1,9/18/13,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP
158,Together,30560.0,1,0,6/27/13,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,SA
159,Together,30560.0,1,0,6/27/13,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,CA
160,Single,60152.0,0,1,3/28/13,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,SP
161,Together,29672.0,1,1,3/12/13,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SA
162,Together,29672.0,1,1,3/12/13,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SP
163,Together,70321.0,0,0,1/16/13,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,0,SP
164,Married,56181.0,0,1,1/8/13,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,SP
165,Married,24279.0,0,0,12/29/12,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,SP
166,Married,68462.0,0,0,12/12/12,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,SP
167,Married,55424.0,0,1,11/25/12,6,462,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,1,0,SP
168,Married,49094.0,0,1,9/21/12,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,0,SP
169,Widow,59184.0,0,1,9/9/12,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,SP
170,Together,67430.0,0,0,9/5/12,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,GER
171,Married,30522.0,0,1,8/17/12,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,SP
172,Single,31878.0,0,1,6/22/14,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,0,SP
173,Single,83528.0,0,0,5/1/14,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,1,0,SP
174,Together,90300.0,0,0,1/3/14,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,SP
175,Single,68092.0,0,0,12/16/13,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0,SA
176,Married,53761.0,1,1,10/11/13,7,158,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,0,0,AUS
177,Married,52845.0,1,0,8/13/13,7,384,25,292,130,41,64,3,8,8,6,6,1,0,0,0,0,0,0,SP
178,Married,24027.0,1,0,6/9/13,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,SP
179,Together,7500.0,1,0,5/7/13,7,2,8,11,3,8,21,4,3,2,2,7,0,0,0,0,0,0,0,IND
180,Together,42586.0,1,1,10/29/12,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,SP
181,Together,42586.0,1,1,10/29/12,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,SP
182,Together,9722.0,1,0,10/2/12,7,6,17,16,6,16,42,4,3,1,3,8,0,0,0,0,0,1,0,SP
183,Married,86836.0,0,0,9/12/12,7,179,21,273,0,21,63,1,6,10,6,5,1,0,1,1,0,1,0,SP
184,Married,30467.0,1,0,3/19/14,8,1,3,8,2,5,5,1,1,0,2,7,0,0,0,0,0,0,0,CA
185,Married,54549.0,0,1,3/3/14,8,216,2,6,0,0,9,2,5,1,4,7,0,0,0,0,0,0,0,SA
186,Together,19444.0,1,0,2/22/14,8,16,0,23,3,2,10,3,4,1,2,7,0,0,0,0,0,1,0,SA
187,Together,69245.0,0,1,1/24/14,8,428,30,214,80,30,61,2,6,5,10,3,0,0,0,0,0,0,0,SA
188,Divorced,72968.0,0,0,12/16/13,8,1092,37,592,145,37,55,1,5,5,8,3,0,0,0,1,0,1,0,SP
189,Married,48686.0,1,2,12/4/13,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SP
190,Married,73687.0,0,0,11/28/13,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,1,0,SA
191,Single,82716.0,0,0,11/5/13,8,606,148,228,15,148,22,1,6,8,13,2,0,0,0,0,0,0,0,CA
192,Married,35523.0,1,0,10/3/13,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,0,GER
193,Divorced,60554.0,1,0,8/9/13,8,588,7,76,110,15,15,2,8,4,9,6,0,0,0,0,0,0,0,SA
194,Together,64090.0,0,1,8/7/13,8,316,58,161,76,51,135,1,6,9,4,5,0,0,0,0,0,1,0,SA
195,Single,61559.0,0,1,7/17/13,8,279,83,88,32,14,34,1,4,2,10,3,0,0,0,0,0,0,0,SP
196,Widow,71670.0,0,0,7/9/13,8,1462,16,128,0,0,160,1,5,3,6,6,0,1,1,0,1,1,0,SP
197,Widow,67680.0,0,1,6/11/13,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,AUS
198,Married,54386.0,0,1,5/17/13,8,277,21,64,62,21,25,2,3,2,10,3,0,0,0,0,0,0,0,SP
199,Single,64108.0,0,1,3/23/13,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,AUS
200,Together,69702.0,0,1,2/19/13,8,664,9,240,50,19,57,2,7,7,10,4,0,0,0,0,0,0,0,SP
201,Single,47958.0,0,1,1/19/13,8,268,11,88,15,3,22,2,6,3,5,5,0,0,0,0,0,0,0,SA
202,Married,67716.0,0,1,1/10/13,8,530,142,217,62,9,56,4,7,4,13,5,0,1,0,0,0,0,0,CA
203,Together,34600.0,1,1,1/1/13,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,1,0,SP
204,Together,34600.0,1,1,1/1/13,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,1,0,SP
205,Married,48752.0,1,1,12/12/12,8,73,57,100,71,15,0,5,6,1,5,9,0,0,0,0,0,1,0,SP
206,Married,15716.0,1,0,11/12/12,8,16,5,30,8,7,26,3,3,0,4,8,0,0,0,0,0,0,1,SA
207,Divorced,46610.0,0,2,10/29/12,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,1,0,AUS
208,Married,74985.0,0,0,9/11/12,8,587,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,0,0,GER
209,Single,45576.0,0,0,5/28/14,9,56,19,29,2,14,25,1,3,1,3,8,0,0,0,0,0,1,0,SP
210,Single,113734.0,0,0,5/28/14,9,6,2,3,1,262,3,0,27,0,0,1,0,0,0,0,0,0,0,SP
211,Single,57100.0,1,0,5/18/14,9,158,11,99,15,11,17,2,3,2,7,3,0,0,0,0,0,0,0,SA
212,Married,24434.0,2,0,5/18/14,9,3,2,8,20,0,17,2,2,1,2,7,0,0,0,0,0,0,0,IND
213,Married,37126.0,1,0,3/30/14,9,45,3,9,4,4,7,1,1,2,2,6,1,0,0,0,0,1,0,SP
214,Single,45160.0,1,1,3/29/14,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,AUS
215,Together,33178.0,1,0,1/30/14,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,SP
216,Widow,64866.0,0,1,1/26/14,9,508,5,21,7,5,10,4,7,3,7,5,0,1,0,0,0,0,0,CA
217,Together,34176.0,0,1,1/22/14,9,11,2,7,4,2,2,1,1,0,3,3,0,0,0,0,0,0,0,CA
218,Single,50014.0,1,0,1/22/14,9,234,14,77,19,10,42,2,4,1,8,5,0,0,0,0,0,0,0,SP
219,Married,92344.0,0,0,1/15/14,9,992,24,694,51,19,119,0,5,10,5,1,1,0,1,0,0,0,0,AUS
220,Divorced,55282.0,1,0,12/13/13,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,SP
221,Divorced,48799.0,0,1,11/5/13,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,SP
222,Married,84169.0,0,0,8/7/13,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,1,0,SP
